player_display_name,position,season,games,tackles,assisted_tackles,sacks,tfl,forced_fumbles,def_interceptions,pass_deflections,def_tds
Derrick Martin,DB,2013,1,1,0,0,0,0,0,0,0
Fred Evans,DL,2013,10,16,4,0,3,1,0,3,0
Cortland Finnegan,DB,2013,6,23,4,0,0,0,1,1,0
Ahmad Brooks,LB,2013,15,52,8,8.5,12,1,1,7,0
Marquice Cole,DB,2013,7,6,2,0,0,0,1,2,0
Daniel Muir,DL,2013,8,12,5,1,2,0,0,0,0
Edgar Jones,DL,2013,1,2,0,0,0,0,0,1,0
Nick Roach,LB,2013,15,83,29,5.5,8,4,1,3,0
Craig Dahl,DB,2013,4,4,3,0,0,0,0,0,0
LaRon Landry,DB,2013,12,62,25,0,1,0,0,2,0
Patrick Willis,LB,2013,14,82,22,3,10,2,0,1,0
Darrelle Revis,DB,2013,16,43,7,1,3,2,2,11,0
Lawrence Timmons,LB,2013,16,86,40,3,7,1,2,5,0
Leon Hall,DB,2013,5,14,6,0,2,0,1,5,0
Michael Griffin,DB,2013,14,61,21,0,1,2,1,4,0
Aaron Ross,DB,2013,3,4,0,0,0,0,1,5,0
Reggie Nelson,DB,2013,15,44,15,1,4,1,2,7,0
Brandon Meriweather,DB,2013,13,53,16,1,3,1,2,3,0
Jon Beason,LB,2013,13,72,32,0,1,0,1,1,0
Anthony Spencer,LB,2013,1,2,0,0,0,0,0,0,0
Alan Branch,DL,2013,14,21,18,0,2,0,0,1,0
Paul Posluszny,LB,2013,15,122,40,3,6,1,2,8,1
Eric Weddle,DB,2013,16,78,25,1,5,1,2,9,0
Chris Houston,DB,2013,12,38,6,0,1,0,2,9,0
LaMarr Woodley,LB,2013,10,20,16,5,4,1,0,1,0
David Harris,LB,2013,16,70,54,2,8,1,0,1,0
Justin Durant,LB,2013,8,14,10,0,2,1,0,1,0
Eric Wright,DB,2013,3,7,0,0,0,0,1,2,0
Josh Wilson,DB,2013,16,64,25,2,5,2,1,7,0
Usama Young,DB,2013,7,15,5,2.5,2,0,1,3,0
Charles Johnson,DL,2013,13,25,6,11,13,1,0,0,0
Brandon Mebane,DL,2013,16,21,24,0,6,0,0,1,0
Ray McDonald,DL,2013,13,29,8,3.5,6,0,0,1,0
Brian Robison,DL,2013,14,25,12,9,12,0,0,3,1
Paul Soliai,DL,2013,14,19,15,1,4,1,0,5,0
Stephen Nicholas,LB,2013,6,17,12,1,2,1,0,1,0
Dashon Goldson,DB,2013,13,53,18,0,1,1,1,8,0
Antwan Barnes,LB,2013,3,2,1,2,2,0,0,0,0
Tarell Brown,DB,2013,12,29,3,0,0,0,0,10,0
Antonio Johnson,DL,2013,12,15,7,3,4,0,0,1,0
Will Herring,LB,2013,6,3,3,0,0,0,1,1,0
Derek Landri,DL,2013,4,6,3,1,1,0,0,0,0
Corey Graham,DB,2013,15,50,17,1,5,1,4,12,0
William Gay,DB,2013,16,55,8,1,4,2,1,9,1
Desmond Bishop,LB,2013,3,4,1,0,1,0,0,0,0
Marvin Mitchell,LB,2013,13,18,21,0,3,0,0,1,0
Trumaine McBride,DB,2013,11,30,5,0,1,0,2,15,0
Alan Ball,DB,2013,15,41,6,0,0,0,2,14,0
Keyunta Dawson,DL,2013,4,2,1,0.5,0,1,0,0,0
Michael Adams,DB,2013,5,10,1,1,1,0,0,1,0
Mike DeVito,DL,2013,11,18,10,0,1,0,0,1,0
Jason Trusnik,LB,2013,7,12,5,0,1,0,0,0,0
Akeem Jordan,LB,2013,15,51,12,0,3,2,0,0,0
James Ihedigbo,DB,2013,16,62,37,0,5,2,3,11,0
Wesley Woodyard,LB,2013,14,47,36,1.5,3,1,1,4,0
Jo-Lonn Dunbar,LB,2013,12,33,6,0,4,0,0,0,0
Elbert Mack,DB,2013,1,0,0,0,0,0,0,0,0
Jerrell Freeman,LB,2013,16,83,43,5.5,6,6,2,6,0
Husain Abdullah,DB,2013,10,12,5,0.5,0,0,1,4,1
Leger Douzable,DL,2013,11,5,15,1.5,2,0,0,0,0
Erin Henderson,LB,2013,12,69,43,4,12,1,2,3,0
Jordan Senn,LB,2013,3,0,1,0,0,0,0,0,0
David Hawthorne,LB,2013,16,58,31,3,8,1,0,0,0
